gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1884906394				CC_BY_4_0													PRESERVED_SPECIMEN				410																		PRESENT																							1991-01-30		30	30	1991	1	30												AFRICA				GH	Eastern			Mampong Akwapem																																																												Solanum erianthum D.Don								Plantae	Tracheophyta	Magnoliopsida	Solanales		Solanaceae				Solanum	Solanum			erianthum			SPECIES		Twi: Pep_diawuo		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:44.156Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK		false	false	2931461	2931461	6	7707728	220	1176	7717	2928997		2931461	Solanum erianthum	Solanum erianthum D.Don	Solanum erianthum ( syn. S. verbascifolium Linn)		EML	2024-01-24T20:29:44.156Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906393				CC_BY_4_0													PRESERVED_SPECIMEN				477																		PRESENT																							1991-05-06		126	126	1991	5	6												AFRICA				GH				Ayikuma Project CSRPM																																																												Nauclea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Rubiaceae				Nauclea	Nauclea						GENUS				ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:52.134Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	7487168	7487168	6	7707728	220	412	8798	7487168				Nauclea L.	Nauclea Latifolia Smith		EML	2024-01-24T20:29:52.134Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906392				CC_BY_4_0													PRESERVED_SPECIMEN				494																		PRESENT																							2003-11-17		321	321	2003	11	17												AFRICA				GH	Accra			Achimota																																																												Amaranthaceae								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales		Amaranthaceae											FAMILY				ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:55.356Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK		false	false	3064	3064	6	7707728	220	422	3064					Amaranthaceae	chenopodium ambrosioides		EML	2024-01-24T20:29:55.356Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906391				CC_BY_4_0													PRESERVED_SPECIMEN				449																		PRESENT																							1994-04-15		105	105	1994	4	15												AFRICA				GH	Eastern			Mampong-Akwapim																																																												Cryptolepis sanguinolenta (Lindl.) Schltr.								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Cryptolepis	Cryptolepis			sanguinolenta			SPECIES		Twi:Nibima Ewe:Kadze Hausa:Gangamau		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:48.870Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	5524969	5524969	6	7707728	220	412	6701	3230982		5524969	Cryptolepis sanguinolenta	Cryptolepis sanguinolenta (Lindl.) Schltr.	Cryptolepis sanguinolente.(Lindl.) schltr.		EML	2024-01-24T20:29:48.870Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906390				CC_BY_4_0													PRESERVED_SPECIMEN				459																		PRESENT																							2010-10-20		293	293	2010	10	20												AFRICA				GH	Eastern			Ayikuma Aboretum																																																												Lippia multiflora Moldenke								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Verbenaceae				Lippia	Lippia			multiflora			SPECIES		Twi:Saa-nunum ,Ewe:Azud_ti,Ga;Naasuruu		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:50.223Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	4085693	4085693	6	7707728	220	408	6689	2925383		4085693	Lippia multiflora	Lippia multiflora Moldenke	Lippia multiflora Moldenke		EML	2024-01-24T20:29:50.223Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906389				CC_BY_4_0													PRESERVED_SPECIMEN				490																		PRESENT																							2010-10-20		293	293	2010	10	20												AFRICA				GH	Eastern			Ayikuma Aboretum																																																												Morinda L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Rubiaceae				Morinda	Morinda						GENUS		Twi:_pela_siakwa/_konkroma,Ga:Kpoti,Blonyat_o,Ewe:Ake,Dzadzakle_u,Nzema:Sima		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:54.955Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2915429	2915429	6	7707728	220	412	8798	2915429				Morinda L.	Morinda Lucida Benth		EML	2024-01-24T20:29:54.955Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906388				CC_BY_4_0													PRESERVED_SPECIMEN				400																		PRESENT																							2010-01-07		7	7	2010	1	7												AFRICA				GH																																																																Solanum torvum Sw.								Plantae	Tracheophyta	Magnoliopsida	Solanales		Solanaceae				Solanum	Solanum			torvum			SPECIES		Twi:Su suruba		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:43.362Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	2932389	2932389	6	7707728	220	1176	7717	2928997		2932389	Solanum torvum	Solanum torvum Sw.	Solanum torrum		EML	2024-01-24T20:29:43.362Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906387				CC_BY_4_0													PRESERVED_SPECIMEN				496																		PRESENT																							1993-07-15		196	196	1993	7	15												AFRICA				GH																																																																Vittaria owariensis Fée								Plantae	Tracheophyta	Polypodiopsida	Polypodiales		Pteridaceae				Haplopteris	Vittaria			owariensis			SPECIES				SYNONYM			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:55.479Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	4047642	4047977	6	7707728	7228684	392	2367	7129952		4047977	Haplopteris owariensis	Haplopteris owariensis (Fée) E.H.Crane	Vittaria owariensis Fee		EML	2024-01-24T20:29:55.479Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906386				CC_BY_4_0													PRESERVED_SPECIMEN				509																		PRESENT																							1991-03-11		70	70	1991	3	11												AFRICA				GH	Eastern			Ayikumah Aboretum																																																												Gramineae								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae											FAMILY				SYNONYM			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:42.792Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK		false	false	4270654	3073	6	7707728	196	1369	3073					Poaceae	Cymbopong nardis(citronella)(Linn)Rendle		EML	2024-01-24T20:29:42.792Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									
1884906385				CC_BY_4_0													PRESERVED_SPECIMEN				434																		PRESENT																							2010-10-20		293	293	2010	10	20												AFRICA				GH	Eastern			CSRPM Building ,Mampong Akwapem																																																												Tridax procumbens L.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Tridax	Tridax			procumbens			SPECIES		Ewe:F_mizigbe		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:46.435Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	3149462	3149462	6	7707728	220	414	3065	3149429		3149462	Tridax procumbens	Tridax procumbens L.	Tridax procumbens Linn.		EML	2024-01-24T20:29:46.435Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906384				CC_BY_4_0													PRESERVED_SPECIMEN				395																		PRESENT																							1975-01-27		27	27	1975	1	27												AFRICA				GH	Eastern			Mampong-Akwapim																																																												Apocynaceae								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae											FAMILY		Twi:Faapaku/Ofwuma/Abanawa/Paapaaku,Nzima:Foba/Fola		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:57.820Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK		false	false	6701	6701	6	7707728	220	412	6701					Apocynaceae	Coropharyngia Comminsii stapf		EML	2024-01-24T20:29:57.820Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906383				CC_BY_4_0													PRESERVED_SPECIMEN				426																		PRESENT																							1991-03-28		87	87	1991	3	28												AFRICA				GH	Eastern			Arboretum																																																												Chromolaena odorata (L.) R.M.King & H.Rob.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Chromolaena	Chromolaena			odorata			SPECIES		Twi:Acheampong		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:45.746Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	3087725	3087725	6	7707728	220	414	3065	7824453		3087725	Chromolaena odorata	Chromolaena odorata (L.) R.M.King & H.Rob.	Chromolaena odoratum		EML	2024-01-24T20:29:45.746Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906382				CC_BY_4_0													PRESERVED_SPECIMEN				473																		PRESENT																							1976-08-08		221	221	1976	8	8												AFRICA				GH	Eastern			Mampong-Akwapim																																																												Canthium Lam.								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Rubiaceae				Canthium	Canthium						GENUS		Twi: Peteprebi Ewe: Tlife Ga: Akpetekplebii		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:51.762Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2917429	2917429	6	7707728	220	412	8798	2917429				Canthium Lam.	Canthium Glabriflorum Hiern		EML	2024-01-24T20:29:51.762Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906381				CC_BY_4_0													PRESERVED_SPECIMEN				451																		PRESENT																							1991-07-15		196	196	1991	7	15												AFRICA				GH	Eastern			Mamfe Akwapem																																																												Parquetina nigrescens (Wennberg) Bullock								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Cryptolepis	Parquetina			nigrescens			SPECIES		Twi:Amo(w)		SYNONYM			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:49.093Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	3580801	9253610	6	7707728	220	412	6701	3230982		9253610	Cryptolepis nigrescens	Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns	Parquentina nigrescens(Afzel).Bulock		EML	2024-01-24T20:29:49.093Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906380				CC_BY_4_0													PRESERVED_SPECIMEN				427																		PRESENT																							2010-03-04		63	63	2010	3	4												AFRICA				GH	Eastern			CSRPM Compound or surrounding																																																												Chromolaena odorata (L.) R.M.King & H.Rob.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Chromolaena	Chromolaena			odorata			SPECIES		Twi:Acheampong		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:45.901Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	3087725	3087725	6	7707728	220	414	3065	7824453		3087725	Chromolaena odorata	Chromolaena odorata (L.) R.M.King & H.Rob.	Chromolaena odoratum		EML	2024-01-24T20:29:45.901Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906379				CC_BY_4_0													PRESERVED_SPECIMEN				438																		PRESENT																							2010-10-28		301	301	2010	10	28												AFRICA				GH	Eastern			CSRPM Building ,Mampong Akwapem																																																												Aspilia africana (Pers.) C.D.Adams								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Aspilia	Aspilia			africana			SPECIES		Twi:Fofo		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:46.836Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	5396273	5396273	6	7707728	220	414	3065	8045475		5396273	Aspilia africana	Aspilia africana (Pers.) C.D.Adams	Aspilia africana(pers)C.O.Adams		EML	2024-01-24T20:29:46.836Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
